area,month,day,year,vessel,trip,cell,site,species,length_mm,length_cm,tag,retained,region,name
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,360,36,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,350,35,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CPR,0,,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM64,MPA,CNY,360,36,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,CNY,350,35,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,CNY,330,33,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,CNY,410,41,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,CPR,370,37,H8081,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,QBK,400,40,H8082,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,VER,440,44,H8083,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,CPR,480,48,H8084,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,QBK,450,45,H8085,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,CPR,450,45,H8086,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,QBK,430,43,H8087,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,CPR,480,48,H8088,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,CPR,460,46,H8089,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,LCD,460,46,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,CNY,280,28,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,CNY,330,33,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,CNY,360,36,H8090,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,CPR,470,47,H8091,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,CPR,490,49,H8092,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,CNY,360,36,H8093,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,CPR,460,46,H8094,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,YLE,640,64,H8095,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,DEA,280,28,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,DEA,360,36,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,VER,440,44,H8096,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,VER,520,52,H8097,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,DEA,320,32,,No,North,South Cape Mendocino
CM,June,2,2022,Fishy Business,CMT02_22,CM73,MPA,DEA,360,36,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,BLA,370,37,H8191,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,VER,510,51,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,VER,500,50,H8189,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,BLA,410,41,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,BLA,410,41,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,VER,510,51,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,BLA,450,45,H8190,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,CBZ,620,62,H8192,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,VER,520,52,H8193,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,CPR,490,49,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,BLA,380,38,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,BLA,410,41,H8194,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,LCD,310,31,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,BLA,500,50,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,BLA,440,44,H8196,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,KGL,350,35,H8197,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,CNY,350,35,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,BLA,370,37,H8199,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,CPR,540,54,H8200,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,DEA,360,36,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,VER,480,48,H8201,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,BLA,400,40,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,BLA,440,44,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,BLA,400,40,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,BLA,440,44,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,QBK,470,47,H8202,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM55,MPA,BLA,400,40,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,DEA,310,31,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,DEA,340,34,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLA,350,35,H8203,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLU,280,28,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLA,390,39,H8204,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,LCD,430,43,H8205,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,CNY,290,29,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLA,330,33,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,CNY,400,40,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLU,350,35,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLU,280,28,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,DEA,310,31,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLA,370,37,H8207,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,DEA,360,36,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,DEA,340,34,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLA,360,36,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLA,380,38,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLA,360,36,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,CBZ,630,63,H8208,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLU,320,32,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLA,400,40,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLA,440,44,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLU,270,27,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,LCD,410,41,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLA,440,44,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLA,410,41,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,VER,450,45,H8209,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM60,MPA,BLA,310,31,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,LCD,320,32,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CPR,420,42,H8143,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,YLE,630,63,H8144,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,420,42,H8145,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,LCD,420,42,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,360,36,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,370,37,H8146,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CPR,430,43,H8147,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,440,44,H8148,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,370,37,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,320,32,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,LCD,620,62,H8149,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,380,38,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,QBK,430,43,H8150,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,QBK,380,38,H8151,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,LCD,450,45,H8152,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,430,43,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,340,34,H8154,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,320,32,H8155,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,380,38,H8156,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,350,35,H8157,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,370,37,H8158,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,0,,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,QBK,430,43,H8159,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CPR,440,44,H8160,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,350,35,H8161,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,350,35,H8162,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CPR,510,51,H8163,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,390,39,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,CNY,380,38,H8164,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM71,MPA,LCD,270,27,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,QBK,450,45,H8165,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,CPR,410,41,H8166,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,LCD,440,44,H8167,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,CPR,480,48,H8168,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,QBK,470,47,H8169,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,CPR,470,47,H8170,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,270,27,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,0,,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,380,38,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,YLE,460,46,H8171,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,410,41,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,QBK,440,44,H8172,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,470,47,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,CNY,380,38,H8173,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,CNY,470,47,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,360,36,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,400,40,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,380,38,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,380,38,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,370,37,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,CNY,490,49,H8175,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,350,35,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,LCD,630,63,H8176,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,QBK,430,43,H8177,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,QBK,410,41,H8178,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,310,31,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,YLE,390,39,H8179,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,QBK,420,42,H8180,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,370,37,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,370,37,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,CNY,470,47,H8181,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,0,,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,QBK,400,40,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,CNY,560,56,H8182,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,CPR,470,47,H8183,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,260,26,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,320,32,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,300,30,,No,North,South Cape Mendocino
CM,June,8,2022,Fishy Business,CMT03_22,CM74,MPA,DEA,370,37,,No,North,South Cape Mendocino
